# Relics & Item Drop Locations
FORMAT: Relics by ## Era Name, ### Refinement State with reward tables. Mod/Blueprint locations: ## Item Name with enemy tables showing drop %.
INDEX: Void Relics (756 entries) | Mod Drop Locations (648 entries) | Blueprint Drop Locations (179 entries)

# Void Relics
Complete relic drop table. Each relic lists its tier (Lith/Meso/Neo/Axi), refinement state, and all possible rewards with drop chances by rarity (Common, Uncommon, Rare).

## Axi A1
### Intact
| Reward | Rarity | Chance |
| Hildryn Prime Chassis Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 16.67% |
| Paris Prime Lower Limb | Uncommon | 16.67% |
| Cobra & Crane Prime Hilt | Uncommon | 16.67% |

## Axi A19
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Acceltra Prime Stock | Rare | 2.00% |
| Xaku Prime Systems Blueprint | Uncommon | 11.00% |
| Larkspur Prime Receiver | Uncommon | 11.00% |
| Paris Prime Blueprint | Uncommon | 25.33% |
| Bronco Prime Receiver | Uncommon | 25.33% |
| Epitaph Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Acceltra Prime Stock | Rare | 4.00% |
| Xaku Prime Systems Blueprint | Uncommon | 13.00% |
| Larkspur Prime Receiver | Uncommon | 13.00% |
| Paris Prime Blueprint | Uncommon | 23.33% |
| Bronco Prime Receiver | Uncommon | 23.33% |
| Epitaph Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Acceltra Prime Stock | Rare | 6.00% |
| Xaku Prime Systems Blueprint | Uncommon | 17.00% |
| Larkspur Prime Receiver | Uncommon | 17.00% |
| Paris Prime Blueprint | Uncommon | 20.00% |
| Bronco Prime Receiver | Uncommon | 20.00% |
| Epitaph Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Acceltra Prime Stock | Uncommon | 10.00% |
| Xaku Prime Systems Blueprint | Uncommon | 20.00% |
| Larkspur Prime Receiver | Uncommon | 20.00% |
| Paris Prime Blueprint | Uncommon | 16.67% |
| Bronco Prime Receiver | Uncommon | 16.67% |
| Epitaph Prime Blueprint | Uncommon | 16.67% |

## Axi A2
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Aklex Prime Link | Rare | 2.00% |
| Aklex Prime Blueprint | Uncommon | 11.00% |
| Lex Prime Blueprint | Uncommon | 11.00% |
| Lex Prime Receiver | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |
| Lex Prime Barrel | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Aklex Prime Link | Rare | 4.00% |
| Aklex Prime Blueprint | Uncommon | 13.00% |
| Lex Prime Blueprint | Uncommon | 13.00% |
| Lex Prime Receiver | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |
| Lex Prime Barrel | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Aklex Prime Link | Rare | 6.00% |
| Aklex Prime Blueprint | Uncommon | 17.00% |
| Lex Prime Blueprint | Uncommon | 17.00% |
| Lex Prime Receiver | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Lex Prime Barrel | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Aklex Prime Link | Uncommon | 10.00% |
| Aklex Prime Blueprint | Uncommon | 20.00% |
| Lex Prime Blueprint | Uncommon | 20.00% |
| Lex Prime Receiver | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |
| Lex Prime Barrel | Uncommon | 16.67% |

## Axi A20
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Alternox Prime Blueprint | Rare | 2.00% |
| Kompressa Prime Receiver | Uncommon | 11.00% |
| Lavos Prime Neuroptics Blueprint | Uncommon | 11.00% |
| Cedo Prime Stock | Uncommon | 25.33% |
| Daikyu Prime String | Uncommon | 25.33% |
| Velox Prime Receiver | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Alternox Prime Blueprint | Rare | 4.00% |
| Kompressa Prime Receiver | Uncommon | 13.00% |
| Lavos Prime Neuroptics Blueprint | Uncommon | 13.00% |
| Cedo Prime Stock | Uncommon | 23.33% |
| Daikyu Prime String | Uncommon | 23.33% |
| Velox Prime Receiver | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Alternox Prime Blueprint | Rare | 6.00% |
| Kompressa Prime Receiver | Uncommon | 17.00% |
| Lavos Prime Neuroptics Blueprint | Uncommon | 17.00% |
| Cedo Prime Stock | Uncommon | 20.00% |
| Daikyu Prime String | Uncommon | 20.00% |
| Velox Prime Receiver | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Alternox Prime Blueprint | Uncommon | 10.00% |
| Kompressa Prime Receiver | Uncommon | 20.00% |
| Lavos Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Cedo Prime Stock | Uncommon | 16.67% |
| Daikyu Prime String | Uncommon | 16.67% |
| Velox Prime Receiver | Uncommon | 16.67% |

## Axi A3
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Akbolto Prime Receiver | Rare | 2.00% |
| Hydroid Prime Neuroptics Blueprint | Uncommon | 11.00% |
| Cernos Prime String | Uncommon | 11.00% |
| Braton Prime Barrel | Uncommon | 25.33% |
| Helios Prime Carapace | Uncommon | 25.33% |
| Kogake Prime Boot | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Akbolto Prime Receiver | Rare | 4.00% |
| Hydroid Prime Neuroptics Blueprint | Uncommon | 13.00% |
| Cernos Prime String | Uncommon | 13.00% |
| Braton Prime Barrel | Uncommon | 23.33% |
| Helios Prime Carapace | Uncommon | 23.33% |
| Kogake Prime Boot | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Akbolto Prime Receiver | Rare | 6.00% |
| Hydroid Prime Neuroptics Blueprint | Uncommon | 17.00% |
| Cernos Prime String | Uncommon | 17.00% |
| Braton Prime Barrel | Uncommon | 20.00% |
| Helios Prime Carapace | Uncommon | 20.00% |
| Kogake Prime Boot | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Akbolto Prime Receiver | Uncommon | 10.00% |
| Hydroid Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Cernos Prime String | Uncommon | 20.00% |
| Braton Prime Barrel | Uncommon | 16.67% |
| Helios Prime Carapace | Uncommon | 16.67% |
| Kogake Prime Boot | Uncommon | 16.67% |

## Axi A4
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Akbolto Prime Receiver | Rare | 2.00% |
| Fang Prime Handle | Uncommon | 11.00% |
| Ballistica Prime String | Uncommon | 11.00% |
| Braton Prime Stock | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |
| Zephyr Prime Neuroptics Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Akbolto Prime Receiver | Rare | 4.00% |
| Fang Prime Handle | Uncommon | 13.00% |
| Ballistica Prime String | Uncommon | 13.00% |
| Braton Prime Stock | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |
| Zephyr Prime Neuroptics Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Akbolto Prime Receiver | Rare | 6.00% |
| Fang Prime Handle | Uncommon | 17.00% |
| Ballistica Prime String | Uncommon | 17.00% |
| Braton Prime Stock | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Zephyr Prime Neuroptics Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Akbolto Prime Receiver | Uncommon | 10.00% |
| Fang Prime Handle | Uncommon | 20.00% |
| Ballistica Prime String | Uncommon | 20.00% |
| Braton Prime Stock | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |
| Zephyr Prime Neuroptics Blueprint | Uncommon | 16.67% |

## Axi A5
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Akvasto Prime Blueprint | Rare | 2.00% |
| Vasto Prime Blueprint | Uncommon | 11.00% |
| Akvasto Prime Link | Uncommon | 11.00% |
| Vasto Prime Barrel | Uncommon | 25.33% |
| Vasto Prime Receiver | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Akvasto Prime Blueprint | Rare | 4.00% |
| Vasto Prime Blueprint | Uncommon | 13.00% |
| Akvasto Prime Link | Uncommon | 13.00% |
| Vasto Prime Barrel | Uncommon | 23.33% |
| Vasto Prime Receiver | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Akvasto Prime Blueprint | Rare | 6.00% |
| Vasto Prime Blueprint | Uncommon | 17.00% |
| Akvasto Prime Link | Uncommon | 17.00% |
| Vasto Prime Barrel | Uncommon | 20.00% |
| Vasto Prime Receiver | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Akvasto Prime Blueprint | Uncommon | 10.00% |
| Vasto Prime Blueprint | Uncommon | 20.00% |
| Akvasto Prime Link | Uncommon | 20.00% |
| Vasto Prime Barrel | Uncommon | 16.67% |
| Vasto Prime Receiver | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Axi A6
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Atlas Prime Neuroptics Blueprint | Rare | 2.00% |
| Zhuge Prime Blueprint | Uncommon | 11.00% |
| Tipedo Prime Ornament | Uncommon | 11.00% |
| Orthos Prime Handle | Uncommon | 25.33% |
| Braton Prime Stock | Uncommon | 25.33% |
| Chroma Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Atlas Prime Neuroptics Blueprint | Rare | 4.00% |
| Zhuge Prime Blueprint | Uncommon | 13.00% |
| Tipedo Prime Ornament | Uncommon | 13.00% |
| Orthos Prime Handle | Uncommon | 23.33% |
| Braton Prime Stock | Uncommon | 23.33% |
| Chroma Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Atlas Prime Neuroptics Blueprint | Rare | 6.00% |
| Zhuge Prime Blueprint | Uncommon | 17.00% |
| Tipedo Prime Ornament | Uncommon | 17.00% |
| Orthos Prime Handle | Uncommon | 20.00% |
| Braton Prime Stock | Uncommon | 20.00% |
| Chroma Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Atlas Prime Neuroptics Blueprint | Uncommon | 10.00% |
| Zhuge Prime Blueprint | Uncommon | 20.00% |
| Tipedo Prime Ornament | Uncommon | 20.00% |
| Orthos Prime Handle | Uncommon | 16.67% |
| Braton Prime Stock | Uncommon | 16.67% |
| Chroma Prime Blueprint | Uncommon | 16.67% |

## Axi A7
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Ash Prime Systems Blueprint | Rare | 2.00% |
| Fragor Prime Blueprint | Uncommon | 11.00% |
| 2X Forma Blueprint | Uncommon | 11.00% |
| Carrier Prime Systems | Uncommon | 25.33% |
| Braton Prime Blueprint | Uncommon | 25.33% |
| Akstiletto Prime Receiver | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Ash Prime Systems Blueprint | Rare | 4.00% |
| Fragor Prime Blueprint | Uncommon | 13.00% |
| 2X Forma Blueprint | Uncommon | 13.00% |
| Carrier Prime Systems | Uncommon | 23.33% |
| Braton Prime Blueprint | Uncommon | 23.33% |
| Akstiletto Prime Receiver | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Ash Prime Systems Blueprint | Rare | 6.00% |
| Fragor Prime Blueprint | Uncommon | 17.00% |
| 2X Forma Blueprint | Uncommon | 17.00% |
| Carrier Prime Systems | Uncommon | 20.00% |
| Braton Prime Blueprint | Uncommon | 20.00% |
| Akstiletto Prime Receiver | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Ash Prime Systems Blueprint | Uncommon | 10.00% |
| Fragor Prime Blueprint | Uncommon | 20.00% |
| 2X Forma Blueprint | Uncommon | 20.00% |
