# Mission & Bounty Drop Tables
FORMAT: Mission rewards organized by ## Planet, ### Node — Mode. Rotation rewards in tables: Item | Rarity | Chance. Bounties show tier rewards with stage and % in tables.
INDEX: Mission Rewards (24 entries) | Sortie Rewards (1 entries) | Transient Rewards (51 entries) | Key Rewards (24 entries) | Cetus Bounty Rewards (10 entries) | Solaris Bounty Rewards (11 entries) | Deimos Bounty Rewards (12 entries) | Zariman Bounty Rewards (5 entries) | Entrati Lab Rewards (5 entries) | Hex Bounty Rewards (7 entries)

# Mission Rewards
All mission reward tables organized by planet and node. Shows game mode, rotation rewards (A/B/C), item names, rarity, and exact drop percentages.

## Mercury
### Apollodorus — Survival
**Rotation A:**
| Item | Rarity | Chance |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| 80 Endo | Uncommon | 15.10% |
| 150 Endo | Uncommon | 15.10% |
| Morphics | Uncommon | 15.10% |
| Gallium | Uncommon | 15.10% |
| Neurodes | Uncommon | 15.10% |
| 2X Morphics | Rare | 5.50% |
| 2X Gallium | Rare | 5.50% |
| 2X Neurodes | Rare | 5.50% |
| 160 Endo | Rare | 5.50% |
| Argon Crystal | Legendary | 0.67% |
| Tellurium | Legendary | 0.67% |
| Nitain Extract | Legendary | 0.67% |
| Xiphos Fuselage Blueprint | Legendary | 0.50% |

### Caduceus — Exterminate (Event)
| Item | Rarity | Chance |
|---|---|---|
| Morphic Transformer | Rare | 5.64% |
| Automatic Trigger | Common | 38.72% |
| Phaedra Receiver | Rare | 5.64% |
| Extend | Common | 38.72% |
| Shell Rush | Rare | 5.64% |
| Shell Rush | Rare | 5.64% |

### Odin — Interception
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Vitality | Uncommon | 10.00% |
| Magazine Warp | Uncommon | 10.00% |
| Trick Mag | Uncommon | 10.00% |
| Lith C14 Relic | Uncommon | 10.00% |
| Lith E2 Relic | Uncommon | 10.00% |
| Lith K12 Relic | Uncommon | 10.00% |
| Lith N18 Relic | Uncommon | 10.00% |
| Lith G14 Relic | Uncommon | 10.00% |
| Lith N19 Relic | Uncommon | 10.00% |
| Lith Q2 Relic | Uncommon | 10.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Speed Trigger | Rare | 5.56% |
| Fast Deflection | Rare | 5.56% |
| Rush | Rare | 5.56% |
| Target Cracker | Rare | 5.56% |
| No Return | Rare | 5.56% |
| Serration | Rare | 5.56% |
| Hornet Strike | Rare | 5.56% |
| Reflex Coil | Rare | 5.56% |
| Deep Freeze | Rare | 5.56% |
| North Wind | Rare | 5.56% |
| Meso L4 Relic | Rare | 5.56% |
| Meso V15 Relic | Rare | 5.56% |
| Meso X1 Relic | Rare | 5.56% |
| Meso D8 Relic | Rare | 5.56% |
| Meso V13 Relic | Rare | 5.56% |
| Meso A10 Relic | Rare | 5.56% |
| Meso A9 Relic | Rare | 5.56% |
| Meso E7 Relic | Rare | 5.56% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Natural Talent | Rare | 2.58% |
| Meso L4 Relic | Uncommon | 12.18% |
| Meso V15 Relic | Uncommon | 12.18% |
| Meso X1 Relic | Uncommon | 12.18% |
| Meso D8 Relic | Uncommon | 12.18% |
| Meso V13 Relic | Uncommon | 12.18% |
| Meso A10 Relic | Uncommon | 12.18% |
| Meso A9 Relic | Uncommon | 12.18% |
| Meso E7 Relic | Uncommon | 12.18% |

### Suisei — Spy
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 1,500 Credits Cache | Uncommon | 14.29% |
| 1,500 Credits Cache | Uncommon | 14.29% |
| 100 Endo | Uncommon | 14.29% |
| 100 Endo | Uncommon | 14.29% |
| Reflection | Uncommon | 14.29% |
| Reflex Guard | Uncommon | 14.29% |
| Parry | Uncommon | 14.29% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Lith C14 Relic | Uncommon | 14.29% |
| Lith E2 Relic | Uncommon | 14.29% |
| Lith K12 Relic | Uncommon | 14.29% |
| Lith N18 Relic | Uncommon | 14.29% |
| Lith G14 Relic | Uncommon | 14.29% |
| Lith N19 Relic | Uncommon | 14.29% |
| Lith Q2 Relic | Uncommon | 14.29% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Master Key | Rare | 8.60% |
| Reflection | Rare | 8.60% |
| Parry | Rare | 8.60% |
| Heavy Impact | Rare | 8.60% |
| Serration | Rare | 8.60% |
| Hornet Strike | Rare | 8.60% |
| Metal Auger | Rare | 8.60% |
| Volcanic Edge | Rare | 8.60% |
| Vicious Frost | Rare | 8.60% |
| Ivara Systems Blueprint | Uncommon | 22.56% |

## Venus
### Bifrost Echo — Skirmish
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 12.20% |
| 150 Endo | Rare | 7.32% |
| Lavan Engines Mk I | Rare | 7.32% |
| Lavan Reactor Mk I | Rare | 7.32% |
| Lavan Shield Array Mk I | Rare | 7.32% |
| Lavan Plating Mk I | Rare | 7.32% |
| Vidar Engines Mk I | Rare | 7.32% |
| Vidar Reactor Mk I | Rare | 7.32% |
| Vidar Shield Array Mk I | Rare | 7.32% |
| Vidar Plating Mk I | Rare | 7.32% |
| Ash Systems Blueprint | Rare | 4.88% |
| Lith C14 Relic | Rare | 2.44% |
| Lith E2 Relic | Rare | 2.44% |
| Lith K12 Relic | Rare | 2.44% |
| Lith N18 Relic | Rare | 2.44% |
| Lith G14 Relic | Rare | 2.44% |
| Lith N19 Relic | Rare | 2.44% |
| Lith Q2 Relic | Rare | 2.44% |

### Bifrost Echo (Extra) — Skirmish
| Item | Rarity | Chance |
|---|---|---|
| 200X Cubic Diodes | Uncommon | 28.57% |
| 200X Titanium | Uncommon | 28.57% |
| 5X Isos | Uncommon | 14.29% |
| 5X Asterite | Uncommon | 14.29% |
| Aucrux Capacitors | Rare | 7.14% |
| Nullstones | Rare | 7.14% |

### Bifrost Echo (Caches) — Caches
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 26.09% |
| 150 Endo | Uncommon | 17.39% |
| Tether | Rare | 8.70% |
| Particle Ram | Rare | 8.70% |
| Shatter Burst | Rare | 8.70% |
| Lith C14 Relic | Rare | 4.35% |
| Lith E2 Relic | Rare | 4.35% |
| Lith K12 Relic | Rare | 4.35% |
| Lith N18 Relic | Rare | 4.35% |
| Lith G14 Relic | Rare | 4.35% |
| Lith N19 Relic | Rare | 4.35% |
| Lith Q2 Relic | Rare | 4.35% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 19.35% |
| 150 Endo | Uncommon | 12.90% |
| Internal Bleeding | Rare | 9.68% |
| Hemorrhage | Rare | 9.68% |
| Votive Onslaught | Rare | 9.68% |
| Lith C7 Relic | Rare | 9.68% |
| Meso N11 Relic | Rare | 9.68% |
| Athodai Blueprint | Rare | 6.45% |
| Athodai Barrel | Rare | 6.45% |
| Athodai Receiver | Rare | 6.45% |

### Beacon Shield Ring — Skirmish
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 12.20% |
| 150 Endo | Rare | 7.32% |
| Lavan Engines Mk I | Rare | 7.32% |
| Lavan Reactor Mk I | Rare | 7.32% |
| Lavan Shield Array Mk I | Rare | 7.32% |
| Lavan Plating Mk I | Rare | 7.32% |
| Vidar Engines Mk I | Rare | 7.32% |
| Vidar Reactor Mk I | Rare | 7.32% |
| Vidar Shield Array Mk I | Rare | 7.32% |
| Vidar Plating Mk I | Rare | 7.32% |
| Ash Systems Blueprint | Rare | 4.88% |
| Lith C14 Relic | Rare | 2.44% |
| Lith E2 Relic | Rare | 2.44% |
| Lith K12 Relic | Rare | 2.44% |
| Lith N18 Relic | Rare | 2.44% |
| Lith G14 Relic | Rare | 2.44% |
| Lith N19 Relic | Rare | 2.44% |
| Lith Q2 Relic | Rare | 2.44% |

### Beacon Shield Ring (Extra) — Skirmish
| Item | Rarity | Chance |
|---|---|---|
| 200X Cubic Diodes | Uncommon | 28.57% |
| 200X Titanium | Uncommon | 28.57% |
| 5X Isos | Uncommon | 14.29% |
| 5X Asterite | Uncommon | 14.29% |
| Aucrux Capacitors | Rare | 7.14% |
| Nullstones | Rare | 7.14% |

### Beacon Shield Ring (Caches) — Caches
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 26.09% |
| 150 Endo | Uncommon | 17.39% |
| Tether | Rare | 8.70% |
| Particle Ram | Rare | 8.70% |
| Shatter Burst | Rare | 8.70% |
| Lith C14 Relic | Rare | 4.35% |
| Lith E2 Relic | Rare | 4.35% |
| Lith K12 Relic | Rare | 4.35% |
| Lith N18 Relic | Rare | 4.35% |
| Lith G14 Relic | Rare | 4.35% |
| Lith N19 Relic | Rare | 4.35% |
| Lith Q2 Relic | Rare | 4.35% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 19.35% |
| 150 Endo | Uncommon | 12.90% |
| Internal Bleeding | Rare | 9.68% |
| Hemorrhage | Rare | 9.68% |
| Votive Onslaught | Rare | 9.68% |
| Lith C7 Relic | Rare | 9.68% |
| Meso N11 Relic | Rare | 9.68% |
| Athodai Blueprint | Rare | 6.45% |
| Athodai Barrel | Rare | 6.45% |
| Athodai Receiver | Rare | 6.45% |

### Orvin-Haarc — Skirmish
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 30.00% |
| 150 Endo | Uncommon | 16.67% |
| Swift Mercy | Uncommon | 16.67% |
| Power Drain | Uncommon | 10.00% |
| Firewall | Uncommon | 10.00% |
| Malicious Code | Rare | 6.67% |
| Hard Reset | Rare | 6.67% |
| Riven Sliver | Rare | 3.33% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 400 Endo | Uncommon | 30.00% |
| Lith C14 Relic | Uncommon | 10.00% |
| Lith E2 Relic | Uncommon | 10.00% |
| Lith K12 Relic | Uncommon | 10.00% |
| Lith N18 Relic | Uncommon | 10.00% |
| Lith G14 Relic | Uncommon | 10.00% |
| Lith N19 Relic | Uncommon | 10.00% |
| Lith Q2 Relic | Uncommon | 10.00% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Ivara Systems Blueprint | Common | 36.00% |
| Lavan Engines Mk I | Rare | 8.00% |
| Lavan Reactor Mk I | Rare | 8.00% |
| Lavan Shield Array Mk I | Rare | 8.00% |
| Lavan Plating Mk I | Rare | 8.00% |
| Vidar Engines Mk I | Rare | 8.00% |
| Vidar Reactor Mk I | Rare | 8.00% |
| Vidar Shield Array Mk I | Rare | 8.00% |
| Vidar Plating Mk I | Rare | 8.00% |

### Orvin-Haarc (Extra) — Skirmish
| Item | Rarity | Chance |
|---|---|---|
| 200X Cubic Diodes | Uncommon | 28.57% |
| 200X Titanium | Uncommon | 28.57% |
| 5X Isos | Uncommon | 14.29% |
| 5X Asterite | Uncommon | 14.29% |
| Aucrux Capacitors | Rare | 7.14% |
| Nullstones | Rare | 7.14% |

### Orvin-Haarc (Caches) — Caches
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 26.09% |
| 150 Endo | Uncommon | 17.39% |
| Tether | Rare | 8.70% |
| Particle Ram | Rare | 8.70% |
| Shatter Burst | Rare | 8.70% |
| Lith C14 Relic | Rare | 4.35% |
| Lith E2 Relic | Rare | 4.35% |
| Lith K12 Relic | Rare | 4.35% |
| Lith N18 Relic | Rare | 4.35% |
| Lith G14 Relic | Rare | 4.35% |
| Lith N19 Relic | Rare | 4.35% |
| Lith Q2 Relic | Rare | 4.35% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 19.35% |
| 150 Endo | Uncommon | 12.90% |
| Internal Bleeding | Rare | 9.68% |
| Hemorrhage | Rare | 9.68% |
| Votive Onslaught | Rare | 9.68% |
| Lith C7 Relic | Rare | 9.68% |
| Meso N11 Relic | Rare | 9.68% |
| Athodai Blueprint | Rare | 6.45% |
| Athodai Barrel | Rare | 6.45% |
| Athodai Receiver | Rare | 6.45% |

### Vesper Strait — Skirmish
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 28.57% |
| Lavan Engines Mk I | Uncommon | 14.29% |
| Lavan Reactor Mk I | Uncommon | 14.29% |
| Lavan Shield Array Mk I | Uncommon | 14.29% |
| Lavan Plating Mk I | Uncommon | 14.29% |
| Lith C14 Relic | Rare | 4.76% |
| Lith E2 Relic | Rare | 4.76% |
| Lith K12 Relic | Rare | 4.76% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 150 Endo | Uncommon | 27.27% |
| Vidar Engines Mk I | Uncommon | 13.64% |
| Vidar Reactor Mk I | Uncommon | 13.64% |
| Vidar Shield Array Mk I | Uncommon | 13.64% |
| Vidar Plating Mk I | Uncommon | 13.64% |
| Lith N18 Relic | Rare | 4.55% |
| Lith G14 Relic | Rare | 4.55% |
| Lith N19 Relic | Rare | 4.55% |
| Lith Q2 Relic | Rare | 4.55% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Arcane Tempo | Uncommon | 10.34% |
| Arcane Consequence | Uncommon | 10.34% |
| Arcane Momentum | Uncommon | 10.34% |
| Arcane Ice | Uncommon | 10.34% |
| Arcane Nullifier | Uncommon | 10.34% |
| Arcane Warmth | Uncommon | 10.34% |
| Arcane Resistance | Rare | 6.90% |
| Arcane Victory | Rare | 6.90% |
| Arcane Strike | Rare | 6.90% |
| Arcane Acceleration | Rare | 6.90% |
| Arcane Aegis | Rare | 3.45% |
| Arcane Precision | Rare | 3.45% |
| Arcane Pulse | Rare | 3.45% |

### Vesper Strait (Extra) — Skirmish
| Item | Rarity | Chance |
|---|---|---|
| 200X Cubic Diodes | Uncommon | 28.57% |
| 200X Titanium | Uncommon | 28.57% |
| 5X Isos | Uncommon | 14.29% |
| 5X Asterite | Uncommon | 14.29% |
| Aucrux Capacitors | Rare | 7.14% |
| Nullstones | Rare | 7.14% |

### Vesper Strait (Caches) — Caches
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 26.09% |
| 150 Endo | Uncommon | 17.39% |
| Tether | Rare | 8.70% |
| Particle Ram | Rare | 8.70% |
| Shatter Burst | Rare | 8.70% |
| Lith C14 Relic | Rare | 4.35% |
| Lith E2 Relic | Rare | 4.35% |
| Lith K12 Relic | Rare | 4.35% |
| Lith N18 Relic | Rare | 4.35% |
| Lith G14 Relic | Rare | 4.35% |
| Lith N19 Relic | Rare | 4.35% |
| Lith Q2 Relic | Rare | 4.35% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 19.35% |
| 150 Endo | Uncommon | 12.90% |
| Internal Bleeding | Rare | 9.68% |
| Hemorrhage | Rare | 9.68% |
| Votive Onslaught | Rare | 9.68% |
| Lith C7 Relic | Rare | 9.68% |
| Meso N11 Relic | Rare | 9.68% |
| Athodai Blueprint | Rare | 6.45% |
| Athodai Barrel | Rare | 6.45% |
| Athodai Receiver | Rare | 6.45% |

### Luckless Expanse — Skirmish
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 26.67% |
| Lavan Engines Mk I | Uncommon | 20.00% |
| Lavan Reactor Mk I | Uncommon | 20.00% |
| Ash Systems Blueprint | Uncommon | 13.33% |
| Lith C14 Relic | Rare | 6.67% |
| Lith E2 Relic | Rare | 6.67% |
| Lith K12 Relic | Rare | 6.67% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Common | 35.29% |
| Lavan Shield Array Mk I | Uncommon | 17.65% |
| Vidar Engines Mk I | Uncommon | 17.65% |
| Lavan Plating Mk I | Uncommon | 17.65% |
| Lith N18 Relic | Rare | 5.88% |
| Lith G14 Relic | Rare | 5.88% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| 150 Endo | Common | 37.50% |
| Vidar Reactor Mk I | Uncommon | 12.50% |
| Vidar Shield Array Mk I | Uncommon | 12.50% |
| Vidar Plating Mk I | Uncommon | 12.50% |
| Ambassador Blueprint | Uncommon | 12.50% |
| Lith N19 Relic | Rare | 6.25% |
| Lith Q2 Relic | Rare | 6.25% |

### Luckless Expanse (Extra) — Skirmish
| Item | Rarity | Chance |
|---|---|---|
| 200X Cubic Diodes | Uncommon | 28.57% |
| 200X Titanium | Uncommon | 28.57% |
| 5X Isos | Uncommon | 14.29% |
| 5X Asterite | Uncommon | 14.29% |
| Aucrux Capacitors | Rare | 7.14% |
| Nullstones | Rare | 7.14% |

### Luckless Expanse (Caches) — Caches
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 26.09% |
| 150 Endo | Uncommon | 17.39% |
| Tether | Rare | 8.70% |
| Particle Ram | Rare | 8.70% |
| Shatter Burst | Rare | 8.70% |
| Lith C14 Relic | Rare | 4.35% |
| Lith E2 Relic | Rare | 4.35% |
| Lith K12 Relic | Rare | 4.35% |
| Lith N18 Relic | Rare | 4.35% |
| Lith G14 Relic | Rare | 4.35% |
| Lith N19 Relic | Rare | 4.35% |
| Lith Q2 Relic | Rare | 4.35% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 19.35% |
| 150 Endo | Uncommon | 12.90% |
| Internal Bleeding | Rare | 9.68% |
| Hemorrhage | Rare | 9.68% |
| Votive Onslaught | Rare | 9.68% |
| Lith C7 Relic | Rare | 9.68% |
| Meso N11 Relic | Rare | 9.68% |
| Athodai Blueprint | Rare | 6.45% |
| Athodai Barrel | Rare | 6.45% |
| Athodai Receiver | Rare | 6.45% |

### Falling Glory — Skirmish
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 26.67% |
| Lavan Engines Mk I | Uncommon | 20.00% |
| Lavan Reactor Mk I | Uncommon | 20.00% |
| Ash Systems Blueprint | Uncommon | 13.33% |
| Lith C14 Relic | Rare | 6.67% |
| Lith E2 Relic | Rare | 6.67% |
| Lith K12 Relic | Rare | 6.67% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Common | 35.29% |
| Lavan Shield Array Mk I | Uncommon | 17.65% |
| Vidar Engines Mk I | Uncommon | 17.65% |
| Lavan Plating Mk I | Uncommon | 17.65% |
| Lith N18 Relic | Rare | 5.88% |
| Lith G14 Relic | Rare | 5.88% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| 150 Endo | Common | 42.11% |
| Vidar Reactor Mk I | Uncommon | 15.79% |
| Vidar Shield Array Mk I | Uncommon | 15.79% |
| Vidar Plating Mk I | Uncommon | 15.79% |
| Lith N19 Relic | Rare | 5.26% |
| Lith Q2 Relic | Rare | 5.26% |

### Falling Glory (Extra) — Skirmish
| Item | Rarity | Chance |
|---|---|---|
| 200X Cubic Diodes | Uncommon | 28.57% |
| 200X Titanium | Uncommon | 28.57% |
| 5X Isos | Uncommon | 14.29% |
| 5X Asterite | Uncommon | 14.29% |
| Aucrux Capacitors | Rare | 7.14% |
| Nullstones | Rare | 7.14% |

### Falling Glory (Caches) — Caches
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 26.09% |
| 150 Endo | Uncommon | 17.39% |
| Tether | Rare | 8.70% |
| Particle Ram | Rare | 8.70% |
| Shatter Burst | Rare | 8.70% |
| Lith C14 Relic | Rare | 4.35% |
| Lith E2 Relic | Rare | 4.35% |
| Lith K12 Relic | Rare | 4.35% |
| Lith N18 Relic | Rare | 4.35% |
| Lith G14 Relic | Rare | 4.35% |
| Lith N19 Relic | Rare | 4.35% |
| Lith Q2 Relic | Rare | 4.35% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 100 Endo | Uncommon | 19.35% |
| 150 Endo | Uncommon | 12.90% |
| Internal Bleeding | Rare | 9.68% |
| Hemorrhage | Rare | 9.68% |
| Votive Onslaught | Rare | 9.68% |
| Lith C7 Relic | Rare | 9.68% |
| Meso N11 Relic | Rare | 9.68% |
| Athodai Blueprint | Rare | 6.45% |
| Athodai Barrel | Rare | 6.45% |
| Athodai Receiver | Rare | 6.45% |

### V Prime — Survival
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 2,000 Credits Cache | Common | 50.00% |
| 100 Endo | Common | 50.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Parry | Rare | 7.69% |
| Steel Fiber | Rare | 7.69% |
| Serration | Rare | 7.69% |
| Incendiary Coat | Rare | 7.69% |
| Hornet Strike | Rare | 7.69% |
| Intensify | Rare | 7.69% |
| Lith C14 Relic | Rare | 7.69% |
| Lith E2 Relic | Rare | 7.69% |
| Lith K12 Relic | Rare | 7.69% |
| Lith N18 Relic | Rare | 7.69% |
| Lith G14 Relic | Rare | 7.69% |
| Lith N19 Relic | Rare | 7.69% |
| Lith Q2 Relic | Rare | 7.69% |
