# Enemy Drop Tables
FORMAT: Each ## is one enemy. Tables list what that enemy drops: mods, blueprints, resources, sigils with rarity and exact % chance.
INDEX: Enemy Mod Drop Tables (860 entries) | Enemy Blueprint Drop Tables (88 entries) | Resource Drops by Enemy (826 entries) | Sigil Drops by Enemy (57 entries) | Additional Item Drops by Enemy (37 entries)
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Amalgam Kucumatz
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Demolyst Machinist
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Demolyst Heqet
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Amalgam Osprey
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Demolyst Moa
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Amalgam Satyr
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Demolyst Osprey
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Amalgam Alkonost
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Amalgam Machinist
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Demolyst Satyr
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Amalgam Heqet
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Vapos Tech
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Point Strike | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Charged Shell | Rare | 5.53% |
| Cleanse Grineer | Rare | 5.53% |
| Swirling Tiger | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Handspring | Rare | 2.01% |

## Vapos Sapping Osprey
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Crowd Dispersion | Uncommon | 25.29% |
| Magazine Warp | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Stretch | Uncommon | 11.06% |
| Diamond Skin | Uncommon | 11.06% |
| Split Chamber | Legendary | 0.67% |
| Gleaming Talon | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Vapos Elite Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| Fury | Rare | 5.53% |
| No Return | Rare | 5.53% |
| Infected Clip | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Jagged Edge | Legendary | 0.67% |
| Gnashing Payara | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Vapos Tech Ranger
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Shredder | Uncommon | 25.29% |
| Concussion Rounds | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Charged Shell | Rare | 4.42% |
| Incendiary Coat | Rare | 4.42% |
| Cleanse Grineer | Rare | 4.42% |
| Combustion Beam | Legendary | 0.67% |
| Ravage | Legendary | 0.67% |
| Handspring | Legendary | 0.67% |

## Vapos Elite Ranger
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Shredder | Uncommon | 25.29% |
| Concussion Rounds | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Charged Shell | Rare | 4.42% |
| Incendiary Coat | Rare | 4.42% |
| Cleanse Grineer | Rare | 4.42% |
| Combustion Beam | Legendary | 0.67% |
| Ravage | Legendary | 0.67% |
| Handspring | Legendary | 0.67% |

## Vapos Nullifier Ranger
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Shredder | Uncommon | 25.29% |
| Concussion Rounds | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Charged Shell | Rare | 4.42% |
| Incendiary Coat | Rare | 4.42% |
| Cleanse Grineer | Rare | 4.42% |
| Combustion Beam | Legendary | 0.67% |
| Ravage | Legendary | 0.67% |
| Handspring | Legendary | 0.67% |

## Vapos Detron Ranger
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Shredder | Uncommon | 25.29% |
| Concussion Rounds | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Charged Shell | Rare | 4.42% |
| Incendiary Coat | Rare | 4.42% |
| Cleanse Grineer | Rare | 4.42% |
| Combustion Beam | Legendary | 0.67% |
| Ravage | Legendary | 0.67% |
| Handspring | Legendary | 0.67% |

## Vapos Sniper Ranger
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Shredder | Uncommon | 25.29% |
| Concussion Rounds | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Charged Shell | Rare | 4.42% |
| Incendiary Coat | Rare | 4.42% |
| Cleanse Grineer | Rare | 4.42% |
| Combustion Beam | Legendary | 0.67% |
| Ravage | Legendary | 0.67% |
| Handspring | Legendary | 0.67% |

## Vapos Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Revenge | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| North Wind | Uncommon | 11.06% |
| Smite Grineer | Uncommon | 11.06% |
| Energy Channel | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Vapos Anti Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Enhanced Vitality | Common | 38.72% |
| Thief's Wit | Common | 38.72% |
| Pathogen Rounds | Rare | 7.52% |
| Shotgun Savvy | Rare | 7.52% |
| Swirling Tiger | Rare | 7.52% |

## Vapos Prod Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pistol Gambit | Common | 37.94% |
| Metal Fiber | Common | 37.94% |
| Chilling Grasp | Uncommon | 11.06% |
| Shotgun Savvy | Uncommon | 11.06% |
| Guardian Derision | Legendary | 0.50% |
| Vital Sense | Legendary | 0.50% |
| Rapid Resilience | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Vapos Nullifier
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Assault Mode | Common | 75.88% |
| Incendiary Coat | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Combustion Beam | Legendary | 0.50% |
| Ravage | Legendary | 0.50% |
| Stalking Fan | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Vapos Railgun Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Trick Mag | Common | 38.72% |
| 15 Endo | Common | 38.72% |
| Charged Chamber | Uncommon | 11.28% |
| 50 Endo | Uncommon | 11.28% |

## Vapos Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Reach | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Fury | Uncommon | 11.06% |
| No Return | Uncommon | 11.06% |
| Reaping Spiral | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Vapos Bioengineer
**Base Mod Drop Chance:** 4.00%
| Mod | Rarity | Chance |
|---|---|---|
| Combustion Beam | Uncommon | 25.00% |
| Gaia's Tragedy | Uncommon | 25.00% |
| Vulpine Mask | Uncommon | 25.00% |
| 80 Endo | Uncommon | 25.00% |

## Vapos Shield Osprey
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| Hawk Eye | Rare | 7.37% |
| Shotgun Barrage | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Shock Absorbers | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Vapos Shockwave Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Trick Mag | Uncommon | 25.29% |
| Piercing Hit | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Cryo Rounds | Uncommon | 11.06% |
| Stretch | Uncommon | 11.06% |
| Pointed Wind | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Vapos Detron Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Vapos Sniper Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Assault Mode | Common | 75.88% |
| Incendiary Coat | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Combustion Beam | Legendary | 0.50% |
| Ravage | Legendary | 0.50% |
| Stalking Fan | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Vapos Oxium Osprey
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Vitality | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Fury | Rare | 7.37% |
| Convulsion | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Hell's Chamber | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Vapos Fusion Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Vaporize | Uncommon | 18.97% |
| Enhanced Vitality | Uncommon | 18.97% |
| Thief's Wit | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| Smite Corpus | Rare | 5.53% |
| Antitoxin | Rare | 5.53% |
| Rush | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Self Destruct | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Amalgam Cinder Machinist
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Amalgam Arca Kucumatz
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Amalgam Arca Heqet
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Amalgam Phase Moa
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Amalgam Swarm Satyr
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Vapos Aquila
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| Bleeding Edge | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Blazing Steel | Rare | 7.37% |
| Energy Amplifier | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Dual Rounds | Rare | 2.01% |

## Taro Ranger Crewman
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Shredder | Uncommon | 25.29% |
| Concussion Rounds | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Charged Shell | Rare | 4.42% |
| Incendiary Coat | Rare | 4.42% |
| Cleanse Grineer | Rare | 4.42% |
| Combustion Beam | Legendary | 0.67% |
| Ravage | Legendary | 0.67% |
| Handspring | Legendary | 0.67% |

## Optio
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Point Strike | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Charged Shell | Rare | 5.53% |
| Cleanse Grineer | Rare | 5.53% |
| Swirling Tiger | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Handspring | Rare | 2.01% |

## Taro Zerca
